Print_ID,Permalink,Name,Logo,URL,Phone,Email
0,web-to-print,All-Service,print0.png,https://web-to-print.pl/,48793427131,reseller@web-to-print.pl
3,drukexpress,Drukexpress.pl,print3.png,https://drukexpress.pl/,48721191313,biuro@drukexpress.pl
2,wydrukujemyto,Dalej Razem sp. z o.o.,print2.png,https://wydrukujemy.to/,48684511367,sklep@wydrukujemy.to
12,drukujtaniej,Pracownia Sztuk Plastycznych Sp. z o.o. ,print12.png,https://drukujtaniej.pl/,48566584200,druk@drukujtaniej.pl
20,printagram,PRINTAGRAM ,print20.png,https://printagram.com/pl/ ,48625087955,info@printagram.com 
25,kserkop,Kserkop Cloud Printhouse,print25.png,http://cloudprinthouse.pl/,48126320254,biuro@drukarniacyfrowa.com.pl
24,spiroprint,SpiRoprint,print24.png,http://spiroprint.iwareprint.pl/,48788544244,reseller@SpiroPrint.pl
4,e-druk,MEDIA-360.PL,print4.png,https://e-druk.pl/,48601433433,krzysztof@e-druk.pl
10,piga,Piga.pl,print10.png,https://piga.pl/,48327003707,piga@piga.pl
13,tudrukuje,Tudrukuje.pl Sławomir Janiszewski ,print13.png,https://tudrukuje.pl/ ,48799151222,biuro@tudrukuje.pl 
14,futura,Cyfrowe Centrum Druku i Fotografii ,print14.png,https://e.futura.pl/ ,48721207721,wydrukicyfrowe@futura.pl 
15,printeo,Studio Grafiki Komputerowej Krzysztof John,print15.png,https://printeo.pl/ ,48693288855,krzysztof@printeo.pl
17,krantom,KRANTOM Roman Krawczuk ,print17.png,https://krantom.eu/ ,48918525075,krantom@krantom.eu
18,multiprint,Drukarnia MultiPrint.pl ,print18.png,https://sklep.multiprint.pl/ ,48790700050,drukarnia@multiprint.pl
22,kupulotki.pl,multiDORADCY.pl,print22.png,http://kupulotki.pl/,48504455669,biuro@kupulotki.pl
23,rgbdruk.pl,sklep.rgbdruk.pl,print23.png,https://www.rgbdruk.pl/,48530777585,zamowienia@rgbdruk.pl
